battery_id,framework_formula,formula_charge,formula_discharge,id_charge,id_discharge,max_delta_volume,num_steps
BAT_00336,Ti3Nb2Cr3O16,Ti3Nb2Cr3O16,Li4Ti3Nb2Cr3O16,mp-777531,mp-774924,0.045894347807866,1
BAT_00337,Cr3NiO8,Li2Cr3NiO8,Li5Cr3NiO8,mp-772613,mp-759984,0.073125201634791,1
BAT_00338,CrNi3O8,Li3CrNi3O8,Li4CrNi3O8,mp-755220,mp-757137,0.003673962020641,1
BAT_00339,Cr3(NiO6)2,Cr3(NiO6)2,Li3Cr3(NiO6)2,mp-776211,mp-772885,0.039517638305891,1
BAT_00341,Cr3NiO8,Li2Cr3NiO8,Li5Cr3NiO8,mp-1178044,mp-759272,0.052069110536555,1
BAT_00342,CrNiO4,LiCrNiO4,Li2CrNiO4,mp-768708,mp-762507,0.000977012060943,1
BAT_00343,CrNi(PO4)2,CrNi(PO4)2,Li2CrNi(PO4)2,mp-775333,mp-757714,0.075175088633318,1
BAT_00344,CrNi5(PO4)6,CrNi5(PO4)6,Li4CrNi5(PO4)6,mp-771940,mp-759831,0.012866276084564,1
BAT_00345,Cr3Ni(PO4)6,Cr3Ni(PO4)6,Li6Cr3Ni(PO4)6,mp-774406,mp-757295,0.024194724778757,1
BAT_00346,CrNi3(PO4)4,CrNi3(PO4)4,Li4CrNi3(PO4)4,mp-754644,mp-757068,0.065168318726389,1
BAT_00347,Cr3Ni(PO4)4,Cr3Ni(PO4)4,Li4Cr3Ni(PO4)4,mp-775135,mp-757193,0.116346525132574,1
BAT_00348,Cr3Ni(SO4)6,Cr3Ni(SO4)6,Li2Cr3Ni(SO4)6,mp-774914,mp-772134,0.035965311096069,2
BAT_00349,VCr2Ni3(PO4)6,VCr2Ni3(PO4)6,Li4VCr2Ni3(PO4)6,mp-780465,mp-1177231,0.061638613611474,1
BAT_00350,TiCr2Ni3(PO4)6,TiCr2Ni3(PO4)6,Li4TiCr2Ni3(PO4)6,mp-776057,mp-1177293,0.062048546724213,1
BAT_00351,CrO6,Li15Cr2O12,Li17Cr2O12,mp-758530,mp-754575,0.041033951927013,1
BAT_00354,CrO2,Li3Cr5O10,Li4Cr5O10,mp-762282,mp-753172,0.000333170973193,1
BAT_00355,CrO2,CrO2,LiCrO2,mp-1400837,mp-756362,0.002416179295348,2
BAT_00356,CrO2,CrO2,LiCr2O4,mp-19177,mp-1235526,0.11212447085603,1
BAT_00357,CrO2,Li2Cr3O6,LiCrO2,mp-753941,mp-753227,0.031031858222083,1
BAT_00358,CrO2,CrO2,LiCrO2,mp-714929,mp-18793,0.063528921598051,3
BAT_00359,Cr3O8,Cr3O8,LiCr3O8,mp-545796,mp-554940,0.113678160313895,1
BAT_00360,CrO6,Li6CrO6,Li8CrO6,mp-753796,mp-780493,0.029667906830255,2
BAT_00361,CrO4,Li2CrO4,Li3CrO4,mp-756967,mp-770632,0.029444052003422,1
BAT_00362,Cr19O48,Cr19O48,Li9Cr19O48,mp-850874,mp-851096,0.006590286312381,1
BAT_00364,Cr5O12,Cr5O12,Li2Cr5O12,mp-773920,mp-772650,0.013605668077345,1
BAT_00365,CrO2,LiCr2O4,Li5Cr4O8,mp-771523,mp-849547,0.100133354326063,1
BAT_00366,Cr19O48,Cr19O48,Li9Cr19O48,mp-780521,mp-851274,0.004254034628494,1
